model,seed,n_train,n_test,best_params,elapsed_sec,precision_bug,recall_bug,f1_bug,precision_clean,recall_clean,f1_clean,f1_macro,gmean_recall,roc_auc
LogisticRegression,25,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",7.642371499910951,0.6839378238341969,0.704,0.6938239159001314,0.695054945054945,0.6746666666666666,0.6847090663058186,0.689266491102975,0.6891772873022828,0.7570097777777779
RandomForest,26,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.65212960005738,0.8316708229426434,0.8893333333333333,0.8595360824742269,0.8810888252148997,0.82,0.8494475138121547,0.8544917981431908,0.8539633091259444,0.9226248888888888
LogisticRegression,26,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",5.934595900005661,0.6978609625668449,0.696,0.6969292389853138,0.6968085106382979,0.6986666666666667,0.6977363515312917,0.6973327952583027,0.6973320586349089,0.7778097777777779
RandomForest,27,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.73100170004182,0.8259212198221093,0.8666666666666667,0.8458035133376708,0.8597475455820477,0.8173333333333334,0.8380041011619959,0.8419038072498333,0.8416386133938697,0.9161377777777777
LogisticRegression,27,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",6.707024600007571,0.7109375,0.728,0.7193675889328063,0.7213114754098361,0.704,0.7125506072874493,0.7159590981101278,0.7158994342783069,0.7876302222222222
RandomForest,28,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",101.04394290002529,0.8084577114427861,0.8666666666666667,0.8365508365508365,0.8563218390804598,0.7946666666666666,0.8243430152143845,0.8304469258826105,0.8298862037117565,0.9099804444444445
LogisticRegression,28,3500,1500,"{'C': 10.0, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",8.629163200035691,0.6924101198402131,0.6933333333333334,0.692871419053964,0.6929238985313751,0.692,0.6924616410940627,0.6926665300740134,0.6926663458452899,0.7560266666666666
RandomForest,29,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",100.36437990004197,0.8203125,0.84,0.8300395256916996,0.8360655737704918,0.816,0.8259109311740891,0.8279752284328943,0.8279130389116963,0.9074186666666666
LogisticRegression,29,3500,1500,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",4.301915100077167,0.6936572199730094,0.6853333333333333,0.6894701542588867,0.689064558629776,0.6973333333333334,0.6931742876076872,0.691322220933287,0.6913072961988597,0.7734826666666667
RandomForest,30,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",100.11279529996682,0.8378728923476005,0.8613333333333333,0.8494411571334648,0.8573388203017832,0.8333333333333334,0.8451656524678837,0.8473034048006742,0.8472176684759223,0.9157404444444445
LogisticRegression,30,3500,1500,"{'C': 1.0, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",8.30985740001779,0.6995884773662552,0.68,0.6896551724137931,0.688715953307393,0.708,0.6982248520710059,0.6939400122423995,0.6938587752561757,0.7716213333333333
